poskytovateľ,počet
Mesto Senica,260
Trnavský samosprávny kraj,85
Hlavné mesto SR Bratislava,73
Mesto Levoča,66
Mesto Myjava,60
Mesto Trnava,60
Mesto Prešov,56
Mesto Svidník,51
Mesto Košice,48
Zlaté Moravce,43
Mesto Banská Bystrica (OVM),39
Mesto Levice,39
Prešovský samosprávny kraj,25
Mesto Zvolen,24
Mesto Trstená,23
Obec Cífer,21
Mesto Komárno,20
Mesto Vranov nad Topľou (OVM),14
Mesto Liptovský Mikuláš,13
Mesto Nové Mesto nad Váhom (OVM),12
Mesto Topoľčany,12
Mesto Trebišov (OVM),12
Mesto Tvrdošín (OVM),12
Mesto Stará Turá,8
Nitriansky samosprávny kraj,4
Mesto Kežmarok (OVM),2
Obec Horné Strháre,2
Mesto Trenčín,1
Obec Kolačkov,1
