Názov,Mesiac zápisu,Mesiac vzniku,Autor,Oblasť,Typ,Odkaz,HVD,PM,Spoplatnenie,Popis,Použité datasety
Finstat,05_2023,2012,Súkromné,Transparentnosť,webaplikácia/API/datasety,www.finstat.sk,x,,freemium,Informácie o firmách,"Register účtovných závierok, Obchodný vestník, Register právnických osôb, ..."
Uvostat,05_2023,2016,Súkromné,Transparentnosť,webaplikácia,www.uvostat.sk,,,freemium,Informácie o verejných obstarávaniach,Vestník verejného obstarávania
Otvorené súdy,05_2023,2013,NGO,Transparentnosť,webaplikácia,www.otvorenesudy.sk,,,zadarmo,Informácie o súdoch a rozhodnutiach,"Súdy, Sudcovia, Súdne pojednávania, Súdne rozhodnutia, Štatistiky o súdoch, Ročné štatistické výkazy o činnosti sudcov"
Otvorená prokuratúra,05_2023,2020,NGO,Transparentnosť,webaplikácia,www.prokuratura.otvorenesudy.sk/,,,zadarmo,Informácie o prokuratúre ,
Z-index,05_2023,2020,NGO,Transparentnosť,webaplikácia,www.zindex.sk,,,zadarmo,Hodnotenie transparentnosti verejných obstarávaní,Vestník verejného obstarávania
Vládny portál o COVID-19,05_2023,2020,Štátne,Zdravie,webaplikácia/datasety,www.korona.gov.sk,,,zadarmo,"Základné údaje o koronavíruse a jeho šírení, očkovanie",covid19-data
Dáta bez pátosu - informácie o COVID-19,05_2023,2020,Súkromné,Zdravie,vizualizácie,www.databezpatosu.sk/reporty-a-interaktivne-mapy,,,zadarmo,"Informácie o šírení koronavírusu, očkovaní",covid19-data
Otvorené drevo,05_2023,01_2022,Štátne,Životné prostredie,webaplikácia/OpenAPI,www.otvorenedrevo.sk,,,zadarmo,Informácie o ťažbe dreva,
Envidat,05_2023,05_2021,Štátne,Životné prostredie,webaplikácia,www.enviroportal.sk/envidat,x,,zadarmo,Informácie o enviromentálnych ukazovateľoch,
Kalkulačka uhlíkovej stopy IEP,05_2023,2020,Štátne,Životné prostredie,kalkulačka,www.iep.sk/Kalkulacka,,,zadarmo,Výpočet uhlíkovej stopy jednotlivca na základe formulára,
MHD Prešov,05_2023,2016,Súkromné,Doprava,webaplikácia/Android/Apple,www.mhdpo.sk,,,zadarmo,Vyhľadávanie spojov verejnej dopravy,On-line poloha vozidiel MHD mesta Prešov - skúšobná prevádzka
Oznamy Prešov,05_2023,2018,Súkromné,Samospráva,webaplikácia,www.oznamypresov.sk,,,zadarmo,"Oznamy - filtrovanie, zasielanie",Úradná tabuľa
Najdispoj.sk,05_2023,2023,Súkromné,Doprava,webaplikácia,https://najdispoj.sk,,,zadarmo,Vyhľadávanie spojov verejnej dopravy,Grafikon vlakovej dopravy vo formáte GTFS 
Fakty o klíme,05_2023,01_2021,NGO,Životné prostredie,vizualizácie,www.faktyoklime.sk,x,,zadarmo,Vizualizácia a analýza informácií o zmene klímy,
Všetko na skok,05_2023,08_2020,NGO,Samospráva,vizualizácia,www.alvaria.sk/vsetkonaskok,,,zadarmo,"Vizualizácia informácií o prevádzkach, vzdialenosť od adries vzdušnou čiarou","Adresy, Zoznam obchodných prevádzok"
Demograf,05_2023,10_2020,NGO,Samospráva,vizualizácia,www.alvaria.sk/demograf,x,,zadarmo,Vizualizácia demografických informácií na úrovni ulice - viaceré mestá,Početnosť občanov
Škôlky,05_2023,11_2022,NGO,Školstvo,vizualizácia,www.alvaria.sk/školky,,,zadarmo,Vizualizácia informácií o škôlkach,
Dotácie,05_2023,03_2022,NGO,Transparentnosť,vizualizácia/datasety,www.alvaria.sk/dotacie2,,,zadarmo,Vizualizácia informácií o udeľovaní dotácií - viaceré mestá a VÚC,Dotácie
Vizuálny smog,05_2023,09_2020,NGO,Životné prostredie,vizualizácia,www.alvaria.sk/vizualnysmog,,,zadarmo,Vizualizácia reklamného smogu v Trnave,Reklamné zariadenia
Koronadotácie,05_2023,09_2021,NGO,Transparentnosť,vizualizácia,www.alvaria.sk/koronadotacie,,,zadarmo,Vizualizácia viacerých schém koronadotácií,
Verejné obstarávania,05_2023,12_2020,NGO,Transparentnosť,vizualizácia,www.alvaria.sk/open-data-aplikacie/,,,zadarmo,Vizualizácia štatistických údajov o verejných obstarávaniach za obstarávateľov,Uvostat
Kampo,05_2023,2020,Samosprávne,Školstvo,webaplikácia,www.kampo.sk,,,zadarmo,Informácie o stredných školách v PSK,
Stromy v kaštieli Jaslovské Bohunice,05_2023,2017,Samosprávne,Životné prostredie,webaplikácia,www.stromy.jaslovske-bohunice.sk,,,zadarmo,"Informácie o stromoch, vyhľadávanie podľa čísla",
Kam idú eurofondy,05_2023,2018,NGO,Transparentnosť,webaplikácia,www.kamidueurofondy.sk,,,zadarmo,Informácie o čerpaní eurofondov z PO 2014-2020,ITMS2014+
Nutnosť alebo prebytok odpadkových košov pre psy v meste Nitra,05_2023,01_2022,VŠ,Životné prostredie,vizualizácia,www.alvaria.sk/zivotne-prostredie/,,,zadarmo,,Evidencia psov
Psy v meste Prešov,05_2023,01_2022,VŠ,Životné prostredie,vizualizácia,www.alvaria.sk/zivotne-prostredie/,,,zadarmo,,Evidencia psov
Modelovanie scenárov miery zníženia emisií podľa využívania elektromobilov v dennej dochádzke v Košiciach,05_2023,01_2022,VŠ,Transparentnosť,vizualizácia,www.alvaria.sk/zivotne-prostredie/,,,zadarmo,,
E-map,05_2023,01_2022,VŠ,Transparentnosť,vizualizácia,www.alvaria.sk/samosprava/,,,zadarmo,Dotácie a dlžníci mesta BB,"Dotácie, Zoznam daňových dlžníkov"
Zmluvy (tovary a služby) Magistrátu hlavného mesta SR Bratislava,05_2023,01_2022,VŠ,Transparentnosť,vizualizácia,www.alvaria.sk/samosprava/,,,zadarmo,,Zmluvy
Bezpečnosť kultúrnych objektov mesta Prešov,05_2023,01_2022,VŠ,Bezpečnosť,vizualizácia,www.alvaria.sk/samosprava/,,,zadarmo,,"Monitorovacie zariadenia, Významné objekty"
Zoznam obchodných prevádzok v Prešove,05_2023,01_2022,VŠ,Samospráva,vizualizácia,www.alvaria.sk/samosprava/,,,zadarmo,,Zoznam obchodných prevádzok v meste Prešove
Využitie dát pri plánovaní cyklistickej dopravy,05_2023,01_2022,VŠ,Doprava,vizualizácia,www.alvaria.sk/doprava/,,,zadarmo,Vizualizácia údajov z kampane Do práce na bicykli,
Dopravná nehodovosť v BB SK a KE SK,05_2023,01_2022,VŠ,Doprava,vizualizácia,www.alvaria.sk/doprava/,,,zadarmo,,
Výhodné bývanie pre mladých,05_2023,01_2022,VŠ,Bývanie,vizualizácia,www.alvaria.sk/vzdelavanie/,,,zadarmo,Vizualizácia škôl a počtu obyvateľov podľa ulíc.,"Školstvo, Počet občanov podľa ulíc"
Vysoké školy v Slovenskej republike: Príručka uchádzača absolventa strednej školy,05_2023,01_2022,VŠ,Školstvo,vizualizácia,www.alvaria.sk/vzdelavanie/,,,zadarmo,,
Nezamestnanosť absolventov slovenských univerzít,05_2023,01_2022,VŠ,Školstvo,vizualizácia,www.alvaria.sk/vzdelavanie/,,,zadarmo,,
Open Data Bratislava,05_2023,01_2022,VŠ,Školstvo,vizualizácia,www.alvaria.sk/vzdelavanie/,,,zadarmo,Vizualizácia základných umeleckých škôl na území BA,Počet základných umeleckých škôl
Nezamestnaní podľa vzdelania v Banskobystrickom kraji,05_2023,01_2022,VŠ,Ekonomika,vizualizácia,www.alvaria.sk/vzdelavanie/,,,zadarmo,,
Mzdové ohodnotenie v jednotlivých krajoch,05_2023,01_2022,VŠ,Ekonomika,vizualizácia,www.alvaria.sk/ekonomika/,,,zadarmo,,
Prvá pomoc ako nástroj podpory pre podniky počas pandémie,05_2023,01_2022,VŠ,Ekonomika,vizualizácia,www.alvaria.sk/ekonomika/,,,zadarmo,,
Príčiny volenia politických strán v jednotlivých okresoch na základe vybraných hodnôt,05_2023,01_2022,VŠ,Voľby,vizualizácia,www.alvaria.sk/politicke-spravanie/,,,zadarmo,,
Dostupnosť pediatrických ambulancií v meste Bratislava,05_2023,01_2022,VŠ,Zdravie,vizualizácia,www.alvaria.sk/zdravotnictvo/,,,zadarmo,,
Lekárne v Prešovskom kraji,05_2023,01_2022,VŠ,Zdravie,vizualizácia,www.alvaria.sk/zdravotnictvo/,,,zadarmo,"Počet lekární podľa obcí, počet obyvateľov na lekáreň, čas cesty do lekárne",Lekárne na území PSK
Reklamné plochy na území mesta Košice,05_2023,12_2021,Samosprávne,Samospráva,vizualizácia,www.opendata.kosice.sk/maps/384f8145f4a9488e8d1ab1819e4c6b38/explore,,,zadarmo,,Reklamné plochy na území mesta Košice
Hlasovanie poslancov mestského zastupiteľstva - volebné obdobie 2018 - 2022,05_2023,10_2022,Samosprávne,Samospráva,vizualizácia,www.opendata.kosice.sk/apps/be9a164438d14b88bc210f4b4c903c28/explore,,,zadarmo,,Hlasovanie poslancov mestského zastupiteľstva - volebné obdobie 2018 - 2022
Monitoring kvality ovzdušia v meste Košice (2010-2020),05_2023,12_2021,Samosprávne,Životné prostredie,vizualizácia,www.opendata.kosice.sk/pages/763f91fbc8844649b940302b3447825b,x,,zadarmo,,Kvalita ovzdušia v meste Košice v rokoch 2010 - 2020
Spádové oblasti materských škôl a školské obvody základných škôl,05_2023,02_2023,Samosprávne,Školstvo,vizualizácia,www.opendata.kosice.sk/pages/677752b2747447f0be5b327047ba9e00,,,zadarmo,,Spádové oblasti materských škôl
Priestupky,05_2023,02_2023,Samosprávne,Bezpečnosť,vizualizácia,www.opendata.kosice.sk/pages/9bcfaab7a37e4501995f7bc1e265d1b3,,,zadarmo,,Priestupky na území mesta Košice
SOBDB 2021 - Košický kraj,05_2023,06_2023,Samosprávne,Samospráva,vizualizácia,https://opendata.kosice.sk/pages/1f059f21ee5e4b16b05d20b27df4aebb,,,zadarmo,,
