Poskytovateľ,Dataset,Počet stiahnutí,Rok
"Agentúra pre rozvoj vidieka, Nitra",Uzatvorené zmluvy - Agentúra pre rozvoj vidieka 2018,97,2022
"Agentúra pre rozvoj vidieka, Nitra",Správa aktivít NSRV SR,75,2022
"Agentúra pre rozvoj vidieka, Nitra",Súhrn aktivít NSRV SR,29,2022
"Agentúra pre rozvoj vidieka, Nitra",Účtovný_výkaz 2017 - aktíva,71,2022
"Agentúra pre rozvoj vidieka, Nitra",Účtovný_výkaz 2017 - náklady,86,2022
"Agentúra pre rozvoj vidieka, Nitra",Účtovný_výkaz 2017 - pasíva,59,2022
"Agentúra pre rozvoj vidieka, Nitra",Účtovný_výkaz 2017 - výnosy,61,2022
"Agentúra pre rozvoj vidieka, Nitra",Zoznam členov NSRV SR,122,2022
"Agentúra pre rozvoj vidieka, Nitra",Zoznam majetku,72,2022
"Agentúra pre rozvoj vidieka, Nitra",Zoznam faktúr 2018,65,2022
"Agentúra pre rozvoj vidieka, Nitra",Zoznam objednávok 2018,90,2022
"Agentúra pre rozvoj vidieka, Nitra",Zoznam objednávok a faktúr ARVI,73,2022
"Agroinštitút Nitra, štátny podnik",Kalendár podujatí II. polrok 2018,9,2022
"Agroinštitút Nitra, štátny podnik",Plán potrieb,6,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",,122,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",,92,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",Dodávateľské faktúry 2022,72,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",,5,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",,74,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",Krátkodobý majetok 2019,80,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",nájomné za pozemky rok 2022,106,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",,70,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",Odberateľské faktúry za rok 2022,79,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",Stav zásob k 2022,98,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",,91,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",Telefónny zoznam mobilných čísiel zamestnancov,93,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",Zoznam otvoreného softvéru štátneho podniku Agrokomplex,27,2022
"Hydromeliorácie, štátny podnik",Čerpanie dotácie č.1,32,2022
"Hydromeliorácie, štátny podnik",Čerpanie dotácie č.2,32,2022
"Hydromeliorácie, štátny podnik",Čerpanie dotácie č.3,33,2022
"Hydromeliorácie, štátny podnik",OČS,24,2022
"Hydromeliorácie, štátny podnik",OČS k 31.12.2019,64,2022
"Hydromeliorácie, štátny podnik",Odbery vody po rokoch,26,2022
