Poskytovateľ,Dataset,Zobrazenia,Rok
Ministerstvo vnútra SR,Ministerstvo vnútra SR,63686,2023
Úrad priemyselného vlastníctva Slovenskej republiky,Úrad priemyselného vlastníctva Slovenskej republiky,11091,2023
Pôdohospodárska platobná agentúra,Pôdohospodárska platobná agentúra,8919,2023
Kancelária Národnej rady SR,Kancelária Národnej rady SR,6569,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,3870,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,3515,2023
Kancelária Národnej rady SR,Kancelária Národnej rady SR,2731,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,2562,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,2519,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,2494,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,2415,2023
Regionálny úrad verejného zdravotníctva Trebišov,Regionálny úrad verejného zdravotníctva Trebišov,2271,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,2265,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,2205,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,2199,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,2126,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,2010,2023
Úrad priemyselného vlastníctva Slovenskej republiky,Úrad priemyselného vlastníctva Slovenskej republiky,1974,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,1956,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,1894,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,1892,2023
Úrad priemyselného vlastníctva Slovenskej republiky,Úrad priemyselného vlastníctva Slovenskej republiky,1765,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",1739,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",1673,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,1661,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,1644,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",1587,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",1578,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,1474,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,1350,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,1331,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,1267,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,1257,2023
"Národné centrum zdravotníckych informácií, Bratislava","Národné centrum zdravotníckych informácií, Bratislava",1237,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,1160,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,1148,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,1129,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,1109,2023
